Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 9 19 21 -999 -999 922 -9.84 -50.06 77.8 70.7 6.74 98 39.2 -999 29.4 -999 -999 201.4 267.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 22 -999 -999 922 -10.18 -50.43 79.5 72 7.46 99.8 9.4 -999 8.4 -999 -999 207.9 266.3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 23 -999 -999 922 -9.85 -50.08 77.8 70.7 7.83 99.8 .4 -999 1.4 -999 -999 222.9 268.4 -999 -999 2.207 1.14 10.215 -999 -2.92 -3.47 -3 -4.22 -2.37 -6.32 -7.49 -10.14 1.11 -.45 -999 -999 -999 761.3 1 -999 136 13.47
2016 9 20 1 -999 -999 922 -10.11 -50.34 85.8 77.8 9.35 103.2 -1 -999 0 -999 -999 239.9 269.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 2 -999 -999 922 -10.31 -50.53 86.3 78.1 9.86 107.5 -.7 -999 0 -999 -999 242.5 268.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 3 -999 -999 922 -10.18 -50.43 87.7 79.5 11.08 105.2 -.3 -999 0 -999 -999 258.1 270 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 4 -999 -999 922 -10.07 -50.26 89 80.7 11.26 106.8 -.1 -999 0 -999 -999 270.2 271 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 5 -999 -999 922 -10.05 -50.28 99.8 90.5 10.73 101.7 -.1 -999 0 -999 -999 271.3 271.9 -999 -999 2.322 1.154 10.215 -999 -2.98 -3.51 -3.02 -4.24 -2.37 -6.31 -7.49 -10.12 .88 .39 -999 -999 -999 760.7 .8 -999 128 12.84
2016 9 20 6 -999 -999 922 -9.59 -49.88 103 93.8 10.82 104.5 -.1 -999 0 -999 -999 271.4 273.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 7 -999 -999 922 -9.36 -49.64 102.7 93.8 11.86 108.8 -.5 -999 0 -999 -999 267.1 274.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 8 -999 -999 922 -9.31 -49.57 103.2 94.3 12.75 106.8 -.4 -999 0 -999 -999 265.3 274.8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 9 -999 -999 922 -9.36 -49.6 103.7 94.7 13.68 110.9 2.2 -999 1.8 -999 -999 268.3 274.8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 10 -999 -999 921 -9.41 -49.64 103.1 94.1 14.37 105.6 19.2 -999 13.9 -999 -999 272.8 274.7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 11 -999 -999 921 -9.23 -49.46 103 94.2 14.71 109.4 41.9 -999 30.5 -999 -999 272.1 275.3 -999 -999 2.353 1.308 10.224 -999 -3.02 -3.54 -3.04 -4.25 -2.38 -6.32 -7.49 -10.12 1.75 .21 -999 -999 -999 762.5 .9 -999 130 12.75
2016 9 20 12 -999 -999 922 -8.77 -48.99 102.4 94 14.62 110.7 79.9 -999 58.3 -999 -999 274 277.3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 13 -999 -999 921 -8.54 -48.73 101.9 93.8 14.97 106.2 114.1 -999 83.8 -999 -999 274.6 278.4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 14 -999 -999 921 -8.35 -48.54 101.2 93.3 15.11 110.1 144.1 -999 105.4 -999 -999 273.5 279.4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 15 -999 -999 921 -8.21 -48.39 100.8 93.1 14.97 110.8 151.8 -999 111.7 -999 -999 275.1 279.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 20 16 -999 -999 921 -8.07 -48.25 101 93.4 15.29 114.6 151.8 -999 110.8 -999 -999 271.9 280.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
